Size,IsPublic,GFA,AirconFA,Occupancy,ChillerType,ChillerAge,ChillerEff,ChillerAudit,LED,EUI,Age,TotalEnergy,NonAirconFA
Large,No,61153.0,61153.0,93.0,Water Cooled Chilled Water Plant,2.0,0.58,2.0,19.0,243.0,4.0,14860.18,0.0
Large,Yes,41499.0,27389.34,100.0,Water Cooled Chilled Water Plant,0.0,0.63,3.0,4.0,141.7,18.0,5880.41,14109.66
Large,No,17306.0,15056.22,95.0,Water Cooled Chilled Water Plant,15.0,1.05,7.0,0.0,173.7,29.0,3006.05,2249.78
Small,No,8946.0,7961.94,100.0,Water Cooled Chilled Water Plant,4.0,0.8,1.0,5.0,281.9,21.0,2521.88,984.06
Small,No,1078.0,625.24,100.0,"Others (Split Units, Unitary Systems)",12.0,,,21.0,138.4,32.0,149.2,452.76
Small,No,4550.0,4095.0,90.0,Air Cooled Chilled Water Plant,12.0,1.1,16.0,0.0,165.3,27.0,752.12,455.0
Small,Yes,4745.0,3416.4,100.0,Air Cooled Chilled Water Plant,9.0,,,10.0,229.5,24.0,1088.98,1328.6
Large,Yes,15551.0,13840.39,89.0,Water Cooled Chilled Water Plant,6.0,,,10.0,401.0,21.0,6235.95,1710.61
Small,No,14671.0,13203.9,100.0,Water Cooled Chilled Water Plant,3.0,0.55,5.0,0.0,157.2,8.0,2306.28,1467.1
Small,No,1671.0,1186.41,77.0,"Others (Split Units, Unitary Systems)",10.0,,,0.0,114.0,11.0,190.49,484.59
Small,No,1700.0,1394.0,70.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,46.7,2.0,79.39,306.0
Small,No,11950.0,8962.5,95.0,Water Cooled Chilled Water Plant,32.0,,,0.0,130.5,34.0,1559.48,2987.5
Large,No,28421.0,23589.43,97.0,Water Cooled Chilled Water Plant,3.0,0.6,4.0,100.0,112.9,24.0,3208.73,4831.57
Large,No,35395.0,29023.9,88.0,Water Cooled Chilled Water Plant,20.0,1.08,1.0,20.0,186.3,21.0,6594.09,6371.1
Small,No,9673.0,7254.75,90.0,Air Cooled Chilled Water Plant,2.0,1.1,,20.0,199.5,20.0,1929.76,2418.25
Large,No,16654.0,6661.6,100.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,94.0,27.0,1565.48,9992.4
Small,No,9000.0,8190.0,100.0,"Others (Split Units, Unitary Systems)",10.0,,,10.0,208.5,19.0,1876.5,810.0
Large,No,17815.0,16033.5,95.0,"Others (Split Units, Unitary Systems)",17.0,0.72,1.0,0.0,201.8,19.0,3595.07,1781.5
Large,Yes,49021.0,30393.02,100.0,Water Cooled Chilled Water Plant,5.0,0.58,2.0,61.0,134.3,33.0,6583.52,18627.98
Small,No,2785.0,1030.45,45.0,"Others (Split Units, Unitary Systems)",3.0,,,50.0,350.0,6.0,974.75,1754.55
Large,No,39149.0,35234.1,90.0,Water Cooled Chilled Water Plant,16.0,,,48.0,229.0,16.0,8965.12,3914.9
Large,Yes,53422.0,20834.58,85.0,Water Cooled Chilled Water Plant,1.0,,,23.0,42.5,24.0,2270.44,32587.42
Large,No,29964.0,28465.8,95.0,Water Cooled Chilled Water Plant,13.0,,,15.0,314.5,15.0,9423.68,1498.2
Large,No,15153.0,12425.46,70.0,Water Cooled Chilled Water Plant,15.0,,,0.0,174.3,36.0,2641.17,2727.54
Large,No,16105.0,16105.0,90.0,"Others (Split Units, Unitary Systems)",9.0,,,20.0,268.3,26.0,4320.97,0.0
Small,No,4482.0,3361.5,100.0,Air Cooled Chilled Water Plant,21.0,,,15.0,204.9,21.0,918.36,1120.5
Small,No,2807.0,1487.71,75.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,91.6,56.0,257.12,1319.29
Small,No,2647.0,2647.0,80.0,"Others (Split Units, Unitary Systems)",20.0,,,0.0,152.3,23.0,403.14,0.0
Small,No,7783.0,5837.25,97.0,Air Cooled Chilled Water Plant,8.0,,,25.0,304.7,9.0,2371.48,1945.75
Large,Yes,37819.0,37819.0,100.0,Water Cooled Chilled Water Plant,2.0,,,17.0,329.6,21.0,12465.14,0.0
Small,No,4129.0,4129.0,100.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,299.1,20.0,1234.98,0.0
Small,No,1965.0,1965.0,100.0,"Others (Split Units, Unitary Systems)",2.0,,,7.0,192.4,19.0,378.07,0.0
Small,Yes,14647.0,12742.89,100.0,Water Cooled Chilled Water Plant,8.0,0.76,,0.0,146.6,9.0,2147.25,1904.11
Large,No,36800.0,33856.0,90.0,Water Cooled Chilled Water Plant,10.0,,,0.0,255.3,39.0,9395.04,2944.0
Small,No,1827.0,1151.01,100.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,236.3,15.0,431.72,675.99
Large,No,17034.0,16011.96,95.0,Water Cooled Chilled Water Plant,18.0,,,0.0,267.2,33.0,4551.48,1022.04
Large,No,18451.0,13469.23,95.0,Water Cooled Chilled Water Plant,3.0,0.64,5.0,30.0,168.3,21.0,3105.3,4981.77
Large,No,21055.0,16001.8,95.0,Water Cooled Chilled Water Plant,1.0,0.6,3.0,10.0,151.7,27.0,3194.04,5053.2
Small,Yes,7860.0,5895.0,100.0,"Others (Split Units, Unitary Systems)",9.0,,,0.0,62.9,15.0,494.39,1965.0
Small,No,8675.0,6940.0,65.0,Water Cooled Chilled Water Plant,19.0,,,0.0,160.8,44.0,1394.94,1735.0
Large,No,16608.0,16608.0,98.0,Water Cooled Chilled Water Plant,17.0,,,0.0,153.0,43.0,2541.02,0.0
Large,Yes,58824.0,43529.76,100.0,Water Cooled Chilled Water Plant,12.0,0.86,5.0,2.0,153.5,13.0,9029.48,15294.24
Small,No,13128.0,8927.04,75.0,Water Cooled Chilled Water Plant,18.0,0.82,,0.0,409.6,22.0,5377.23,4200.96
Large,Yes,17137.0,16794.26,100.0,Air Cooled Chilled Water Plant,30.0,0.94,3.0,0.0,121.4,92.0,2080.43,342.74
Small,No,2644.0,2644.0,100.0,"Others (Split Units, Unitary Systems)",4.0,,,5.0,278.0,39.0,735.03,0.0
Small,No,4736.0,4736.0,60.0,"Others (Split Units, Unitary Systems)",18.0,,,5.0,188.2,35.0,891.32,0.0
Large,No,15480.0,15480.0,95.0,"Others (Split Units, Unitary Systems)",17.0,,,10.0,366.5,65.0,5673.42,0.0
Small,No,1058.0,804.08,90.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,211.0,20.0,223.24,253.92
Large,No,47744.0,43924.48,96.0,Water Cooled Chilled Water Plant,8.0,0.7,8.0,25.0,266.5,38.0,12723.78,3819.52
Small,No,2013.0,1248.06,100.0,"Others (Split Units, Unitary Systems)",10.0,,,10.0,187.6,16.0,377.64,764.94
Large,No,16222.0,13302.04,85.0,Water Cooled Chilled Water Plant,2.0,0.68,1.0,10.0,126.7,36.0,2055.33,2919.96
Large,Yes,38240.0,37092.8,96.0,Water Cooled Chilled Water Plant,5.0,0.63,1.0,2.0,215.3,13.0,8233.07,1147.2
Large,No,34736.0,27788.8,96.0,Water Cooled Chilled Water Plant,3.0,0.9,5.0,30.0,193.2,33.0,6711.0,6947.2
Large,No,23236.0,18356.44,97.0,Water Cooled Chilled Water Plant,11.0,,,0.0,251.4,26.0,5841.53,4879.56
Small,No,6521.0,5216.8,95.0,Water Cooled Chilled Water Plant,14.0,,,0.0,224.8,40.0,1465.92,1304.2
Small,No,10852.0,8356.04,90.0,Water Cooled Chilled Water Plant,4.0,0.62,5.0,28.0,218.6,20.0,2372.25,2495.96
Small,No,4027.0,3946.46,100.0,"Others (Split Units, Unitary Systems)",7.0,,,28.0,207.0,10.0,833.59,80.54
Small,Yes,2720.0,1958.4,100.0,"Others (Split Units, Unitary Systems)",2.0,,,0.0,101.1,44.0,274.99,761.6
Small,Yes,6898.0,1241.64,85.0,"Others (Split Units, Unitary Systems)",8.0,,,0.0,111.7,9.0,770.51,5656.36
Large,No,25021.0,20767.43,98.0,Water Cooled Chilled Water Plant,20.0,0.59,3.0,80.0,189.0,33.0,4728.97,4253.57
Small,No,6359.0,5532.33,100.0,Air Cooled Chilled Water Plant,1.0,,,1.0,151.3,16.0,962.12,826.67
Large,No,35657.0,32804.44,100.0,Water Cooled Chilled Water Plant,8.0,0.64,2.0,0.0,215.2,9.0,7673.39,2852.56
Small,No,5000.0,3500.0,98.0,Water Cooled Chilled Water Plant,4.0,,,10.0,118.3,26.0,591.5,1500.0
Small,No,10580.0,10051.0,98.0,"Others (Split Units, Unitary Systems)",4.0,,,20.0,205.1,22.0,2169.96,529.0
Small,No,11977.0,9940.91,90.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,224.9,9.0,2693.63,2036.09
Small,No,1757.0,1019.06,85.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,149.0,20.0,261.79,737.94
Small,No,10917.0,7969.41,96.0,Water Cooled Chilled Water Plant,30.0,,,0.0,197.5,32.0,2156.11,2947.59
Small,No,2372.0,1612.96,65.0,"Others (Split Units, Unitary Systems)",8.0,,,20.0,135.6,9.0,321.64,759.04
Small,No,4225.0,3253.25,97.0,Water Cooled Chilled Water Plant,1.0,0.64,2.0,0.0,223.0,27.0,942.18,971.75
Small,No,13121.0,12596.16,100.0,Water Cooled Chilled Water Plant,4.0,0.67,2.0,2.0,264.4,5.0,3469.19,524.84
Large,No,47410.0,32712.9,90.0,District Cooling Plant,5.35,,,10.0,131.9,16.0,6253.38,14697.1
Small,No,1016.0,995.68,100.0,"Others (Split Units, Unitary Systems)",8.0,,,0.0,340.7,20.0,346.15,20.32
Large,No,51282.0,41025.6,93.0,District Cooling Plant,0.0,,,0.0,126.6,8.0,6492.3,10256.4
Large,No,51661.0,41845.41,89.0,Water Cooled Chilled Water Plant,10.0,0.71,,17.0,210.2,14.0,10859.14,9815.59
