Size,IsPublic,GFA,AirconFA,Occupancy,ChillerType,ChillerAge,ChillerEff,ChillerAudit,LED,EUI,Age,TotalEnergy,NonAirconFA
Large,No,18122.0,13953.94,80.0,District Cooling Plant,16.0,,,45.0,114.4,18.0,2073.16,4168.06
Large,No,32504.0,25028.08,97.0,District Cooling Plant,7.0,,,70.0,168.8,9.0,5486.68,7475.92
Large,No,21167.0,17991.95,100.0,District Cooling Plant,9.0,,,30.0,381.8,9.0,8081.56,3175.05
Large,No,16450.0,16285.5,95.0,Water Cooled Chilled Water Plant,40.0,,,0.0,185.3,49.0,3048.18,164.5
Large,Yes,37923.0,29959.17,100.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,226.5,21.0,8589.56,7963.83
Small,Yes,4551.0,1683.87,100.0,"Others (Split Units, Unitary Systems)",8.0,,,0.0,309.1,28.0,1406.71,2867.13
Small,Yes,9938.0,5465.9,100.0,Water Cooled Chilled Water Plant,7.0,0.63,2.0,0.0,210.9,27.0,2095.92,4472.1
Large,No,68839.0,58513.15,98.0,Water Cooled Chilled Water Plant,2.0,0.65,2.0,25.0,184.4,1.0,12693.91,10325.85
Small,No,5295.0,5295.0,78.0,"Others (Split Units, Unitary Systems)",4.0,,,60.0,37.7,5.0,199.62,0.0
Large,No,23977.0,21339.53,90.0,Water Cooled Chilled Water Plant,1.0,,,90.0,307.2,22.0,7365.73,2637.47
Small,No,7816.0,4767.76,87.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,304.0,24.0,2376.06,3048.24
Small,No,7816.0,4767.76,68.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,167.8,24.0,1311.52,3048.24
Small,No,8900.0,8900.0,71.0,Water Cooled Chilled Water Plant,4.0,,,0.0,289.4,13.0,2575.66,0.0
Large,No,64846.0,51876.8,100.0,Water Cooled Chilled Water Plant,4.0,0.65,5.0,0.0,193.1,21.0,12521.76,12969.2
Small,No,1600.0,400.0,100.0,"Others (Split Units, Unitary Systems)",6.0,,,100.0,71.8,28.0,114.88,1200.0
Small,No,9233.0,9233.0,100.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,233.1,15.0,2152.21,0.0
Large,No,19967.0,16772.28,100.0,Water Cooled Chilled Water Plant,6.0,,,5.0,118.1,9.0,2358.1,3194.72
Small,No,3904.0,1132.16,100.0,"Others (Split Units, Unitary Systems)",15.0,,,0.0,195.3,21.0,762.45,2771.84
Small,No,2048.0,1904.64,90.0,"Others (Split Units, Unitary Systems)",1.0,,,0.0,64.5,14.0,132.1,143.36
Large,No,41840.0,38492.8,98.0,Water Cooled Chilled Water Plant,3.0,0.6,3.0,30.0,164.9,16.0,6899.42,3347.2
Small,Yes,1715.0,1543.5,95.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,138.7,33.0,237.87,171.5
Large,No,33363.0,27691.29,75.0,District Cooling Plant,3.0,,,0.0,312.2,5.0,10415.93,5671.71
Large,No,72782.0,60409.06,90.0,District Cooling Plant,6.0,,,0.0,194.1,6.0,14126.99,12372.94
Large,Yes,15200.0,12160.0,90.0,Water Cooled Chilled Water Plant,3.0,,,75.0,113.5,3.0,1725.2,3040.0
Small,No,2974.0,535.32,70.0,"Others (Split Units, Unitary Systems)",1.0,,,0.0,116.8,36.0,347.36,2438.68
Large,No,15590.0,12939.7,75.0,Water Cooled Chilled Water Plant,31.0,,,0.0,121.1,40.0,1887.95,2650.3
Small,No,14989.0,14839.11,100.0,Water Cooled Chilled Water Plant,15.0,,,50.0,337.0,17.0,5051.29,149.89
Small,No,3853.0,3275.05,70.0,"Others (Split Units, Unitary Systems)",20.0,,,0.0,124.7,22.0,480.47,577.95
Large,Yes,32860.0,4271.8,60.0,"Others (Split Units, Unitary Systems)",4.0,,,12.0,199.3,5.0,6549.0,28588.2
Large,No,22722.0,21131.46,100.0,Water Cooled Chilled Water Plant,9.0,0.8,4.0,30.0,386.0,10.0,8770.69,1590.54
Large,No,27850.0,20330.5,100.0,Water Cooled Chilled Water Plant,9.0,0.56,1.0,10.0,243.5,29.0,6781.48,7519.5
Small,No,1082.0,941.34,100.0,"Others (Split Units, Unitary Systems)",2.0,,,0.0,204.1,28.0,220.84,140.66
Small,No,2281.0,1756.37,97.0,"Others (Split Units, Unitary Systems)",4.0,,,5.0,60.6,95.0,138.23,524.63
Small,No,2154.0,1809.36,66.0,"Others (Split Units, Unitary Systems)",3.0,,,0.0,111.6,14.0,240.39,344.64
Large,No,15724.0,12893.68,83.0,Water Cooled Chilled Water Plant,18.0,0.82,5.0,4.0,210.2,21.0,3305.18,2830.32
Large,No,23533.0,21179.7,95.0,Water Cooled Chilled Water Plant,19.0,,,100.0,202.1,30.0,4756.02,2353.3
Small,Yes,5091.0,305.46,85.0,"Others (Split Units, Unitary Systems)",5.0,,,75.0,129.4,28.0,658.78,4785.54
Small,Yes,5998.0,0.0,50.0,"Others (Split Units, Unitary Systems)",17.0,,,0.0,9.3,45.0,55.78,5998.0
Small,Yes,11015.0,7820.65,100.0,"Others (Split Units, Unitary Systems)",16.0,,,50.0,182.1,17.0,2005.83,3194.35
Small,No,8838.0,8838.0,100.0,Air Cooled Chilled Water Plant,5.0,1.33,5.0,0.0,213.2,20.0,1884.26,0.0
Large,No,15847.0,14103.83,90.0,"Others (Split Units, Unitary Systems)",10.0,,,50.0,166.3,10.0,2635.36,1743.17
Large,No,52945.0,41297.1,84.0,Water Cooled Chilled Water Plant,6.0,0.88,8.0,0.0,165.5,27.0,8762.4,11647.9
Large,No,27699.0,27699.0,95.0,Water Cooled Chilled Water Plant,1.0,0.65,1.0,0.0,174.6,20.0,4836.25,0.0
Small,No,2118.0,1906.2,100.0,"Others (Split Units, Unitary Systems)",6.0,,,0.0,233.4,9.0,494.34,211.8
Small,No,3883.0,2834.59,70.0,Water Cooled Chilled Water Plant,20.0,,,0.0,148.6,3.0,577.01,1048.41
Small,Yes,10700.0,9095.0,100.0,"Others (Split Units, Unitary Systems)",1.0,,,31.0,142.5,17.0,1524.75,1605.0
Large,Yes,19761.0,10868.55,100.0,Water Cooled Chilled Water Plant,10.0,0.91,8.0,80.0,145.6,32.0,2877.2,8892.45
Large,No,21090.0,17082.9,90.0,Water Cooled Chilled Water Plant,10.0,0.88,8.0,80.0,148.8,32.0,3138.19,4007.1
Small,No,1882.0,1882.0,100.0,Water Cooled Chilled Water Plant,10.0,0.91,8.0,0.0,35.4,32.0,66.62,0.0
Small,No,11080.0,11080.0,95.0,"Others (Split Units, Unitary Systems)",17.0,,,0.0,268.1,20.0,2970.55,0.0
Small,Yes,4549.0,500.39,50.0,"Others (Split Units, Unitary Systems)",12.0,,,0.0,201.8,16.0,917.99,4048.61
Small,Yes,5834.0,700.08,50.0,"Others (Split Units, Unitary Systems)",1.0,,,0.0,56.8,16.0,331.37,5133.92
Small,No,3661.0,3661.0,100.0,"Others (Split Units, Unitary Systems)",7.0,,,0.0,276.0,25.0,1010.44,0.0
Large,Yes,20175.0,3026.25,80.0,"Others (Split Units, Unitary Systems)",5.0,,,90.0,38.8,18.0,782.79,17148.75
Large,No,27291.0,27018.09,80.0,"Others (Split Units, Unitary Systems)",19.0,0.92,3.0,100.0,456.1,20.0,12447.43,272.91
Small,No,3811.0,3201.24,75.0,"Others (Split Units, Unitary Systems)",6.0,,,0.0,206.4,25.0,786.59,609.76
Large,No,33846.0,33846.0,88.0,"Others (Split Units, Unitary Systems)",14.0,,,0.0,224.8,15.0,7608.58,0.0
Small,No,3880.0,3181.6,84.0,"Others (Split Units, Unitary Systems)",12.0,,,0.0,185.1,34.0,718.19,698.4
Small,No,7386.0,6942.84,100.0,Air Cooled Chilled Water Plant,3.0,,,0.0,75.7,19.0,559.12,443.16
Large,No,15345.0,13503.6,100.0,"Others (Split Units, Unitary Systems)",5.0,0.87,,25.0,287.6,16.0,4413.22,1841.4
Small,No,7428.0,6759.48,100.0,"Others (Split Units, Unitary Systems)",10.0,,,0.0,206.5,11.0,1533.88,668.52
Small,No,3465.0,3118.5,90.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,292.2,6.0,1012.47,346.5
Small,Yes,2289.0,1991.43,100.0,"Others (Split Units, Unitary Systems)",11.0,,,0.0,121.9,43.0,279.03,297.57
Small,No,11315.0,8825.7,97.0,Water Cooled Chilled Water Plant,1.0,,,5.0,177.6,27.0,2009.54,2489.3
Small,No,10950.0,8760.0,90.0,"Others (Split Units, Unitary Systems)",17.0,,,0.0,237.5,19.0,2600.62,2190.0
Small,No,8975.0,6551.75,100.0,"Others (Split Units, Unitary Systems)",11.0,,,0.0,329.7,28.0,2959.06,2423.25
Small,No,11380.0,11380.0,100.0,Water Cooled Chilled Water Plant,19.0,,,55.0,410.8,20.0,4674.9,0.0
Small,No,5099.0,3569.3,95.0,Water Cooled Chilled Water Plant,39.0,,,0.0,107.0,42.0,545.59,1529.7
Large,Yes,20211.0,7073.85,100.0,"Others (Split Units, Unitary Systems)",8.0,,,0.0,65.0,9.0,1313.72,13137.15
Large,No,49048.0,25995.44,90.0,Water Cooled Chilled Water Plant,1.0,0.65,2.0,8.0,267.5,25.0,13120.34,23052.56
Small,Yes,7428.0,3639.72,90.0,"Others (Split Units, Unitary Systems)",4.0,,,10.0,121.3,45.0,901.02,3788.28
Large,Yes,23278.0,22114.1,83.0,Water Cooled Chilled Water Plant,13.0,,,5.0,264.3,30.0,6152.38,1163.9
Large,Yes,15091.0,9507.33,83.0,"Others (Split Units, Unitary Systems)",13.0,,,10.0,123.9,58.0,1869.77,5583.67
Small,No,1858.0,1579.3,100.0,"Others (Split Units, Unitary Systems)",10.0,,,0.0,347.1,20.0,644.91,278.7
Small,No,2044.0,1860.04,100.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,177.9,31.0,363.63,183.96
Small,No,3406.0,3099.46,100.0,"Others (Split Units, Unitary Systems)",8.0,,,0.0,62.1,44.0,211.51,306.54
Small,No,2500.0,2325.0,100.0,"Others (Split Units, Unitary Systems)",3.0,,,0.0,196.2,48.0,490.5,175.0
Small,No,12253.0,10047.46,65.0,Water Cooled Chilled Water Plant,2.0,,,0.0,120.0,3.0,1470.36,2205.54
Small,No,4024.0,3702.08,85.0,"Others (Split Units, Unitary Systems)",5.0,,,25.0,155.1,29.0,624.12,321.92
Large,No,18275.0,18092.25,60.0,"Others (Split Units, Unitary Systems)",10.0,,,10.0,455.5,18.0,8324.26,182.75
Large,No,39649.0,36080.59,75.0,District Cooling Plant,5.0,,,0.0,128.5,4.0,5094.9,3568.41
Small,No,2636.0,1528.88,100.0,"Others (Split Units, Unitary Systems)",8.0,,,0.0,83.1,26.0,219.05,1107.12
Small,No,2900.0,2291.0,100.0,Water Cooled Chilled Water Plant,5.0,,,0.0,263.1,117.0,762.99,609.0
Large,No,29812.0,19675.92,99.0,Water Cooled Chilled Water Plant,9.0,0.87,3.0,20.0,261.6,10.0,7798.82,10136.08
